doi,sample_label,source_location,data_license,conditions,resin,dynamic_unit,functional_group_type,chain_architecture,soft_segment,soft_segment_mn_g_mol,filler_type,filler_pct,original_tensile_strength_mpa,healed_tensile_strength_mpa,healing_efficiency_pct
10.1002/app.54825,PU-C4A5-DA,"PDF pp. 3-4 and 9-11; Table 1, Table 3, Figure 10","User-authorized copy; Wiley copyright","{""metric_basis"":""tensile-strength recovery"",""damage"":""0.5 cm-long artificial crack in coating"",""thermal_activation"":""120 C for 15 min, then 60 C for 24 h"",""tensile_test_standard"":""ISO 527-2"",""tensile_crosshead_speed_mm_min"":50,""specimen_dimensions_mm"":""40 x 10 x 1"",""C4A_FA_to_BMI_mol_ratio"":""0.1:0.1""}",PCL-IPDI polyurethane,"calix[4]arene-furan/polyether-bismaleimide Diels-Alder crosslinks",urethane,crosslinked,PCL,1000,,,,,30
10.1002/app.54825,PU-C4A10-DA,"PDF pp. 3-4 and 9-11; Table 1, Table 3, Figure 10","User-authorized copy; Wiley copyright","{""metric_basis"":""tensile-strength recovery"",""damage"":""0.5 cm-long artificial crack in coating"",""thermal_activation"":""120 C for 15 min, then 60 C for 24 h"",""tensile_test_standard"":""ISO 527-2"",""tensile_crosshead_speed_mm_min"":50,""specimen_dimensions_mm"":""40 x 10 x 1"",""C4A_FA_to_BMI_mol_ratio"":""0.2:0.2""}",PCL-IPDI polyurethane,"calix[4]arene-furan/polyether-bismaleimide Diels-Alder crosslinks",urethane,crosslinked,PCL,1000,,,,,75
10.1002/app.54825,PU-C4A15-DA,"PDF pp. 3-4 and 9-11; Table 1, Table 3, Figure 10","User-authorized copy; Wiley copyright","{""metric_basis"":""tensile-strength recovery"",""damage"":""0.5 cm-long artificial crack in coating"",""thermal_activation"":""120 C for 15 min, then 60 C for 24 h"",""tensile_test_standard"":""ISO 527-2"",""tensile_crosshead_speed_mm_min"":50,""specimen_dimensions_mm"":""40 x 10 x 1"",""C4A_FA_to_BMI_mol_ratio"":""0.3:0.3""}",PCL-IPDI polyurethane,"calix[4]arene-furan/polyether-bismaleimide Diels-Alder crosslinks",urethane,crosslinked,PCL,1000,,,,,92.5
10.1016/j.colsurfa.2025.136398,SPU-DA2.5-room-temperature,"PDF pp. 2, 4, and 7-10; methods, Figure 7, Figure 8","User-authorized copy; Elsevier standard copyright","{""metric_basis"":""tensile-strength recovery"",""damage"":""sectioned specimen aligned and fixed together"",""thermal_activation"":""room temperature for 24 h"",""tensile_crosshead_speed_mm_min"":50,""isocyanate_index_R"":2.5}",PPG-IPDI polyurethane,"furan-maleimide Diels-Alder crosslinks plus disulfide exchange",urethane,crosslinked,PPG,2000,,,,,41.3
10.1016/j.colsurfa.2025.136398,SPU-DA2.5-60C,"PDF pp. 2, 4, and 7-10; methods, Figure 7, Figure 8","User-authorized copy; Elsevier standard copyright","{""metric_basis"":""tensile-strength recovery"",""damage"":""sectioned specimen aligned and fixed together"",""thermal_activation"":""60 C for 24 h"",""tensile_crosshead_speed_mm_min"":50,""isocyanate_index_R"":2.5}",PPG-IPDI polyurethane,"furan-maleimide Diels-Alder crosslinks plus disulfide exchange",urethane,crosslinked,PPG,2000,,,,,52.7
10.1016/j.colsurfa.2025.136398,SPU-DA2.5-80C,"PDF pp. 2, 4, and 7-10; methods, Figure 7, Figure 8","User-authorized copy; Elsevier standard copyright","{""metric_basis"":""tensile-strength recovery"",""damage"":""sectioned specimen aligned and fixed together"",""thermal_activation"":""80 C for 24 h"",""tensile_crosshead_speed_mm_min"":50,""isocyanate_index_R"":2.5}",PPG-IPDI polyurethane,"furan-maleimide Diels-Alder crosslinks plus disulfide exchange",urethane,crosslinked,PPG,2000,,,,,58.2
10.1016/j.colsurfa.2025.136398,SPU-DA2.5-100C,"PDF pp. 2, 4, and 7-10; methods, Figure 7, Figure 8","User-authorized copy; Elsevier standard copyright","{""metric_basis"":""tensile-strength recovery"",""damage"":""sectioned specimen aligned and fixed together"",""thermal_activation"":""100 C for 24 h"",""tensile_crosshead_speed_mm_min"":50,""isocyanate_index_R"":2.5}",PPG-IPDI polyurethane,"furan-maleimide Diels-Alder crosslinks plus disulfide exchange",urethane,crosslinked,PPG,2000,,,,,64
10.1016/j.colsurfa.2025.136398,SPU-DA2.5-110C-two-stage,"PDF pp. 2, 4, and 7-10; methods, Figure 7, Figure 8","User-authorized copy; Elsevier standard copyright","{""metric_basis"":""tensile-strength recovery"",""damage"":""sectioned specimen aligned and fixed together"",""thermal_activation"":""110 C for 10 min, then 60 C for 24 h"",""tensile_crosshead_speed_mm_min"":50,""isocyanate_index_R"":2.5}",PPG-IPDI polyurethane,"furan-maleimide Diels-Alder crosslinks plus disulfide exchange",urethane,crosslinked,PPG,2000,,,,,71.7
10.1016/j.colsurfa.2025.136398,SPU-DA2.5-115C-two-stage,"PDF pp. 2, 4, and 7-10; methods, Figure 7, Figure 8","User-authorized copy; Elsevier standard copyright","{""metric_basis"":""tensile-strength recovery"",""damage"":""sectioned specimen aligned and fixed together"",""thermal_activation"":""115 C for 10 min, then 60 C for 24 h"",""tensile_crosshead_speed_mm_min"":50,""isocyanate_index_R"":2.5}",PPG-IPDI polyurethane,"furan-maleimide Diels-Alder crosslinks plus disulfide exchange",urethane,crosslinked,PPG,2000,,,,,80.6
10.1016/j.colsurfa.2025.136398,SPU-DA2.5-120C-two-stage-cycle1,"PDF pp. 2, 4, and 7-10; methods, Figure 7, Figure 8","User-authorized copy; Elsevier standard copyright","{""metric_basis"":""tensile-strength recovery"",""damage"":""sectioned specimen aligned and fixed together"",""thermal_activation"":""120 C for 10 min, then 60 C for 24 h"",""tensile_crosshead_speed_mm_min"":50,""isocyanate_index_R"":2.5,""healing_cycle"":1}",PPG-IPDI polyurethane,"furan-maleimide Diels-Alder crosslinks plus disulfide exchange",urethane,crosslinked,PPG,2000,,,,,90.1
